"Timestamp","Raw1","ByProduct","Product1","ByProduct_From_1_to_2","Raw2","Product2","ByProduct_From_1_to_3","Raw3_1","Raw3_2","Product3"
"2019-07-01 00:00:00","150.00632096","44.0500569","11.86705831","9.189282987","2.006053923","3.580789126","0.2413725927","5.311983925","0.6495439001","2.313002224"
"2019-07-02 00:00:00","150.03941849","44.9417429","10.58084708","0","0","0","0","4.976111867","0.6499536474","2.219060015"
"2019-07-03 00:00:00","149.97992792","46.12733479","11.5314247","8.978365231","2.599720554","3.707705298","0","4.716594292","0.6167945196","2.173808039"
"2019-07-04 00:00:00","149.99751324","45.79903969","11.22265582","8.768551369","2.581957261","3.645370175","0","4.674945623","0.6000603448","2.123399123"
"2019-07-05 00:00:00","149.99695136","45.45021878","13.43163899","8.637838002","2.609624909","3.689440561","0","4.799644827","0.6000829098","2.136560578"
"2019-07-06 00:00:00","152.89083687","46.11487302","12.55606391","8.821846794","2.641189426","3.684803286","0","4.879103219","0.6000310407","2.158887036"
"2019-07-07 00:00:00","154.97533538","47.09184744","11.87071041","8.131848707","2.631530116","3.808159124","0","4.900003125","0.6000392226","2.174224887"
"2019-07-08 00:00:00","157.98769402","48.78105637","11.01710867","7.861444644","2.593632835","3.814561238","0","4.899968885","0.6000373429","2.174462309"
"2019-07-09 00:00:00","159.98258296","51.35285698","12.19745303","8.109932327","2.596131565","3.84012492","0","4.900041096","0.5999693432","2.174939374"
"2019-07-10 00:00:00","159.95959579","51.25171207","12.04071381","8.06268779","2.56556577","3.855574322","0","4.899974232","0.6000490902","2.166814029"
"2019-07-11 00:00:00","167.01322735","53.23476303","13.97217169","7.934813389","2.581651227","3.833562946","0","4.900019593","0.6000359734","2.149798998"
"2019-07-12 00:00:00","170.05542397","54.24056713","11.3624728","8.034996122","2.604255618","3.841746931","0","4.813046303","0.5999640705","2.136110708"
"2019-07-13 00:00:00","179.17380938","58.55590507","13.22510813","8.297912932","2.65393503","3.819113305","0","4.787656481","0.6001212536","2.147314921"
"2019-07-14 00:00:00","180.01864887","59.60570384","11.85390979","8.552895552","2.714397007","3.798483637","0","4.758162562","0.600024572","2.140637605"
"2019-07-15 00:00:00","180.01964488","59.94559208","12.9396622","5.680501333","1.93966153","2.214205605","0.9485538904","3.814063593","0.4238906123","2.063260561"
"2019-07-16 00:00:00","179.96927966","60.4773857","13.18532259","0.8293864356","2.880202403","0.0786200941","4.314046486","2.211381643","0.007026960239","1.993732737"
"2019-07-17 00:00:00","179.98914649","60.82332496","12.04071039","5.829628652","2.451798218","0","0.3065641615","4.62416271","0.6637344714","2.111746196"
"2019-07-18 00:00:00","179.99457728","58.69791645","13.81032349","6.392479761","2.522539906","0.4020489866","0.4999924422","4.552771635","0.6039593501","2.112628283"
"2019-07-19 00:00:00","180.00631189","58.37421703","12.1174069","9.000496991","2.732006116","3.692989087","0.6700264713","4.403393656","0.6040339685","2.15882433"
"2019-07-20 00:00:00","184.76368698","61.34755288","12.6131333","9.214157154","2.70976886","3.7449801","0.8000116991","4.300115956","0.6039997615","2.132275489"
"2019-07-21 00:00:00","189.99909905","64.10568653","13.20780328","9.257229069","2.722774319","3.764642279","0.799998197","4.299595348","0.6040572766","2.14962739"
"2019-07-22 00:00:00","189.98445109","64.08462138","11.86754839","9.335605661","2.78698452","3.767652918","0.7999834494","4.239503225","0.6039982115","2.155446465"
"2019-07-23 00:00:00","190.01340271","63.59208439","13.59517119","9.445423956","2.909806889","3.773208765","0.8000585266","4.19639783","0.6040563268","2.110544796"
"2019-07-24 00:00:00","190.00907101","64.04210454","11.90432104","9.586585906","2.884637071","3.778941202","0.766685319","4.177759319","0.6040025062","2.136785361"
"2019-07-25 00:00:00","190.00344192","64.11624158","13.99193889","8.64296333","2.895856312","3.394708343","0.6513360254","4.222767909","0.6039586256","2.084370541"
"2019-07-26 00:00:00","190.07222157","64.32897314","12.46649438","7.959025956","2.863941759","3.72113337","0.7999846182","4.179034087","0.6039464306","2.110399102"
"2019-07-27 00:00:00","189.98557369","63.1326173","14.05783926","7.71098312","2.90140268","3.769746836","0.7999995678","4.200133192","0.6039521846","2.136632522"
"2019-07-28 00:00:00","190.00186246","62.55919384","13.05943095","7.780567265","2.857304045","3.760327453","0.8000237177","4.199892227","0.6040625831","2.118659281"
"2019-07-29 00:00:00","155.75648345","47.60353411","9.699694164","8.134908776","2.825741973","3.752469897","0.8000019919","4.200062579","0.603950197","2.123019183"
"2019-07-30 00:00:00","179.20094212","57.56347255","11.65201729","9.274692768","2.873010957","3.74792498","0.8000073127","4.174003496","0.6040392534","2.138249761"
"2019-07-31 00:00:00","190.01454204","62.3295171","13.48553434","9.90190068","2.952626435","3.751768969","0.7999652689","4.099936889","0.5582771807","2.125137061"
"2019-08-01 00:00:00","190.0028197","62.87353506","12.29979659","9.538481402","2.958434474","3.761091294","0.8000467144","4.072794511","0.5500035597","2.123904265"
"2019-08-02 00:00:00","190.04347113","63.11906493","14.16767847","9.078640238","2.971373926","3.734741458","0.7536718158","3.999968097","0.5223757019","2.080029757"
"2019-08-03 00:00:00","190.01765725","62.34895737","12.81936144","8.967865807","2.989692853","3.714501996","0.6558617541","3.999935528","0.4999793155","2.058116149"
"2019-08-04 00:00:00","189.99206049","62.29083706","13.80584373","9.035059592","3.008798694","3.708100965","0.7000278824","3.991893629","0.5000622348","2.057998759"
"2019-08-05 00:00:00","189.98369142","62.73863875","13.26252981","9.36196579","2.993773351","3.752623897","0.6999701654","3.96321104","0.5000317235","2.053519002"
"2019-08-06 00:00:00","189.98139573","64.4868175","13.56221984","9.314814817","3.010143325","3.787326521","0.6999979758","3.99946138","0.5000635135","2.051319826"
"2019-08-07 00:00:00","190.02265811","66.00468734","12.07369932","9.29964353","3.021083878","3.78347104","0.7000204104","3.998328878","0.5000480572","2.0577722"
"2019-08-08 00:00:00","189.99866902","65.6905592","13.78681329","9.251348205","3.028325329","3.779841218","0.7000051549","3.99866715","0.4999543291","2.064780428"
"2019-08-09 00:00:00","189.99424094","66.81263719","12.68743802","9.734667256","3.02683945","3.805736989","0.7000200112","3.998926096","0.4999808581","2.083636397"
"2019-08-10 00:00:00","190.01793288","67.14191001","14.07426104","9.588748747","3.027719652","3.772321777","0.6999810946","4.000101797","0.4999714125","2.072077502"
"2019-08-11 00:00:00","190.02994068","67.00196935","12.32463094","9.412505286","3.030046855","3.764340431","0.6999544685","3.996304982","0.4999393767","2.087218828"
"2019-08-12 00:00:00","190.00001807","65.90921595","13.28559714","9.33978088","3.004052528","3.750798708","0.6999818877","3.999839812","0.4998841408","2.084598281"
"2019-08-13 00:00:00","189.99498043","66.45917164","12.87641929","9.441432409","3.001920276","3.798243944","0.6999836449","4.000171153","0.5000044363","2.089992151"
